scheduleId,studentId,registerDate
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
GLAW1315-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2101,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
POLI1205-BT2102,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2101,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2503-IT2102,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2101,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
ITEC2504-IT2102,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2101,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1205-IT2102,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2101,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
POLI1304-IT2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2102,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
ACCO1334-AC2101,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2102,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
COMP2403-AC2101,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2102,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
POLI1205-AC2101,,10/10/2020
